State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Washoe,6.17,(4.48 - 8.44),3.77,(2.66 - 5.31),4.10,(3.04 - 5.50)
New Hampshire,7.45,(6.15 - 8.99),3.67,(2.88 - 4.66),4.18,(3.42 - 5.09)
Central,6.98,(5.43 - 8.93),3.51,(2.63 - 4.67),4.01,(3.15 - 5.09)
Central 1,7.55,(5.49 - 10.30),3.55,(2.50 - 5.01),4.17,(3.13 - 5.52)
Central 2,6.34,(4.62 - 8.64),3.47,(2.46 - 4.89),3.85,(2.86 - 5.18)
Northern,7.22,(5.18 - 10.00),3.88,(2.71 - 5.52),4.37,(3.23 - 5.88)
Southern,7.76,(6.18 - 9.71),3.70,(2.81 - 4.86),4.22,(3.36 - 5.29)
Southern 1 (Rockingham),7.47,(5.46 - 10.15),3.43,(2.41 - 4.87),3.91,(2.90 - 5.25)
Southern 2,7.92,(6.05 - 10.31),3.87,(2.82 - 5.28),4.41,(3.40 - 5.71)
New Jersey,7.17,(5.92 - 8.67),2.97,(2.29 - 3.83),3.52,(2.88 - 4.31)
Central,7.21,(5.27 - 9.79),3.18,(2.22 - 4.53),3.70,(2.75 - 4.97)
Metropolitan,7.18,(5.36 - 9.56),2.69,(1.88 - 3.85),3.32,(2.50 - 4.39)
Northern,7.15,(5.40 - 9.43),2.90,(2.06 - 4.07),3.43,(2.60 - 4.51)
Southern,7.15,(5.20 - 9.75),3.13,(2.20 - 4.42),3.69,(2.77 - 4.89)
New Mexico,6.68,(5.48 - 8.13),3.29,(2.55 - 4.23),3.81,(3.11 - 4.67)
Region 1,7.38,(5.43 - 9.95),3.38,(2.36 - 4.83),4.03,(3.03 - 5.35)
Region 2,6.79,(4.86 - 9.40),3.04,(2.08 - 4.43),3.53,(2.57 - 4.83)
Region 3 (Bernalillo),6.37,(4.74 - 8.51),3.39,(2.40 - 4.78),3.82,(2.87 - 5.07)
Region 4,6.54,(4.68 - 9.07),3.15,(2.19 - 4.52),3.72,(2.77 - 4.98)
Region 5,6.45,(4.70 - 8.80),3.29,(2.31 - 4.66),3.83,(2.89 - 5.06)
New York,6.76,(5.99 - 7.62),3.24,(2.72 - 3.86),3.77,(3.29 - 4.33)
Region A,6.61,(5.65 - 7.71),3.02,(2.44 - 3.74),3.53,(2.98 - 4.18)
Region 1,5.78,(4.29 - 7.73),2.64,(1.89 - 3.66),3.18,(2.45 - 4.10)
Region 2,7.28,(5.78 - 9.13),3.15,(2.31 - 4.27),3.78,(2.98 - 4.80)
Region 3,6.08,(4.55 - 8.07),3.27,(2.39 - 4.47),3.60,(2.74 - 4.70)
Region 4,6.56,(5.01 - 8.56),2.88,(2.11 - 3.92),3.36,(2.61 - 4.30)
Region B,6.88,(5.76 - 8.20),3.28,(2.60 - 4.14),3.80,(3.16 - 4.57)
Region 5,6.52,(5.10 - 8.30),3.34,(2.45 - 4.53),3.79,(2.96 - 4.84)
Region 6,6.78,(5.05 - 9.05),3.04,(2.20 - 4.20),3.56,(2.72 - 4.63)
Region 7,7.98,(5.94 - 10.66),3.48,(2.51 - 4.81),4.22,(3.24 - 5.47)
Region C,6.96,(5.93 - 8.15),3.47,(2.81 - 4.27),4.05,(3.44 - 4.76)
Region 8,7.53,(5.64 - 9.98),3.63,(2.63 - 5.01),4.25,(3.27 - 5.50)
Region 9,6.66,(4.98 - 8.86),3.42,(2.48 - 4.71),3.96,(3.04 - 5.14)
Region 10,7.05,(5.29 - 9.34),3.31,(2.38 - 4.60),4.10,(3.18 - 5.28)
Region 11,6.34,(4.75 - 8.40),3.38,(2.47 - 4.62),3.89,(3.01 - 5.01)
Region 12,7.29,(5.57 - 9.49),3.48,(2.53 - 4.77),4.07,(3.16 - 5.22)
Region D,6.55,(5.34 - 8.02),3.62,(2.86 - 4.57),4.12,(3.39 - 4.99)
Region 13,6.89,(5.02 - 9.40),3.86,(2.75 - 5.41),4.36,(3.29 - 5.77)
Region 14,6.25,(4.63 - 8.39),3.51,(2.56 - 4.80),3.99,(3.07 - 5.17)
Region 15,6.56,(4.80 - 8.91),3.51,(2.51 - 4.88),4.02,(3.05 - 5.28)
North Carolina,5.93,(4.84 - 7.26),3.21,(2.50 - 4.11),3.59,(2.92 - 4.42)
CenterPoint/Guilford**,6.03,(4.48 - 8.08),3.04,(2.21 - 4.17),3.45,(2.63 - 4.52)
Guilford,5.87,(4.12 - 8.30),3.04,(2.07 - 4.44),3.47,(2.52 - 4.76)
Durham,5.62,(4.05 - 7.73),2.77,(1.93 - 3.94),3.19,(2.37 - 4.28)
East Carolina,5.90,(4.13 - 8.35),3.51,(2.39 - 5.12),3.90,(2.82 - 5.36)
Eastpointe,5.81,(4.07 - 8.23),3.32,(2.24 - 4.90),3.67,(2.62 - 5.13)
ECCS,5.63,(3.88 - 8.10),*,(* - *),3.78,(2.75 - 5.17)
Mecklenburg,6.66,(4.73 - 9.29),2.78,(1.91 - 4.05),3.29,(2.41 - 4.50)
Pathways,6.39,(4.57 - 8.85),3.67,(2.53 - 5.31),4.00,(2.90 - 5.50)
PBH,5.90,(4.22 - 8.18),3.31,(2.29 - 4.77),3.68,(2.69 - 5.01)
Sandhills,*,(* - *),*,(* - *),3.51,(2.56 - 4.81)
Smoky Mountain,5.94,(4.22 - 8.31),*,(* - *),3.84,(2.77 - 5.30)
Western Highlands,*,(* - *),3.48,(2.41 - 5.01),3.77,(2.73 - 5.19)
North Dakota,5.49,(4.46 - 6.75),2.93,(2.27 - 3.78),3.41,(2.78 - 4.18)
Badlands and West Central,5.09,(3.68 - 7.00),2.88,(2.01 - 4.09),3.22,(2.39 - 4.32)
Lake Region and South Central,6.56,(4.74 - 9.01),2.83,(1.97 - 4.07),3.40,(2.53 - 4.57)
North Central and Northwest,6.01,(4.32 - 8.29),2.94,(2.05 - 4.20),3.44,(2.55 - 4.62)
Northeast,5.52,(3.99 - 7.59),3.01,(2.09 - 4.33),3.71,(2.81 - 4.88)
Southeast,5.09,(3.73 - 6.91),2.99,(2.16 - 4.14),3.43,(2.63 - 4.45)
Ohio,7.07,(6.30 - 7.92),3.81,(3.25 - 4.46),4.26,(3.75 - 4.84)
"Boards 2, 46, 55, and 68",6.91,(5.23 - 9.08),3.73,(2.72 - 5.09),4.16,(3.20 - 5.40)
"Boards 3, 52, and 85",6.23,(4.58 - 8.42),3.70,(2.66 - 5.13),4.06,(3.07 - 5.36)
Boards 4 and 78,6.85,(5.01 - 9.29),3.71,(2.67 - 5.15),4.10,(3.09 - 5.41)
Boards 5 and 60,5.96,(4.45 - 7.95),4.09,(2.95 - 5.65),4.42,(3.36 - 5.80)
"Boards 7, 15, 41, 79, and 84",6.85,(5.17 - 9.02),3.98,(2.88 - 5.47),4.33,(3.29 - 5.69)
"Boards 8, 13, and 83",6.39,(4.68 - 8.66),3.64,(2.64 - 5.00),4.00,(3.05 - 5.24)
Board 9 (Butler),7.15,(5.32 - 9.53),3.45,(2.43 - 4.86),4.05,(3.08 - 5.32)
Board 12,7.16,(5.41 - 9.42),3.68,(2.69 - 5.00),4.24,(3.29 - 5.46)
Boards 18 and 47,7.42,(5.88 - 9.33),3.32,(2.47 - 4.47),3.85,(3.03 - 4.90)
"Boards 20, 32, 54, and 69",6.51,(4.75 - 8.85),3.81,(2.74 - 5.27),4.18,(3.16 - 5.50)
"Boards 21, 39, 51, 70, and 80",7.11,(5.28 - 9.51),3.79,(2.78 - 5.15),4.23,(3.24 - 5.49)
"Boards 22, 74, and 87",6.63,(4.88 - 8.96),3.67,(2.68 - 5.02),4.15,(3.19 - 5.37)
Boards 23 and 45,7.04,(5.17 - 9.52),4.36,(3.15 - 6.01),4.75,(3.60 - 6.24)
Board 25 (Franklin),7.97,(6.25 - 10.12),4.63,(3.48 - 6.12),5.13,(4.05 - 6.47)
"Boards 27, 71, and 73",7.15,(5.30 - 9.58),4.33,(3.14 - 5.94),4.69,(3.56 - 6.17)
"Boards 28, 43, and 67",6.86,(5.17 - 9.05),3.59,(2.61 - 4.90),4.06,(3.12 - 5.27)
Board 31 (Hamilton),7.82,(5.90 - 10.30),3.69,(2.67 - 5.09),4.29,(3.28 - 5.58)
Board 48 (Lucas),7.11,(5.33 - 9.42),3.60,(2.61 - 4.93),4.12,(3.17 - 5.33)
Boards 50 and 76,6.99,(5.24 - 9.27),4.16,(3.03 - 5.68),4.55,(3.48 - 5.92)
Board 57 (Montgomery),6.65,(4.95 - 8.88),3.51,(2.55 - 4.83),3.96,(3.03 - 5.16)
Board 77 (Summit),6.71,(5.01 - 8.93),3.62,(2.66 - 4.92),4.02,(3.10 - 5.21)
Oklahoma,6.37,(5.16 - 7.82),3.35,(2.60 - 4.31),3.82,(3.09 - 4.71)
Central,5.93,(4.19 - 8.34),3.07,(2.17 - 4.33),3.57,(2.68 - 4.75)
East Central,6.44,(4.55 - 9.04),3.47,(2.40 - 5.00),3.92,(2.87 - 5.34)
Northeast,6.05,(4.35 - 8.35),3.16,(2.19 - 4.56),3.65,(2.70 - 4.93)
Northwest and Southwest,7.16,(5.10 - 9.97),3.70,(2.55 - 5.34),4.26,(3.13 - 5.78)
Oklahoma County,6.59,(4.71 - 9.15),3.32,(2.33 - 4.71),3.80,(2.81 - 5.11)
Southeast,5.92,(4.21 - 8.27),3.69,(2.52 - 5.37),4.01,(2.90 - 5.52)
Tulsa County,6.36,(4.48 - 8.96),3.07,(2.11 - 4.44),3.54,(2.58 - 4.82)
Oregon,6.60,(5.46 - 7.97),3.94,(3.08 - 5.02),4.30,(3.50 - 5.27)
Region 1 (Multnomah),6.50,(4.68 - 8.95),3.99,(2.78 - 5.69),4.30,(3.14 - 5.85)
Region 2,6.96,(5.13 - 9.38),3.41,(2.44 - 4.76),3.87,(2.92 - 5.11)
Region 3,6.09,(4.62 - 7.99),3.92,(2.84 - 5.40),4.26,(3.25 - 5.56)
Region 4,7.40,(5.30 - 10.26),4.60,(3.17 - 6.62),4.94,(3.59 - 6.78)
Region 5 (Central),*,(* - *),4.16,(2.90 - 5.94),4.49,(3.27 - 6.13)
Region 6 (Eastern),6.73,(4.81 - 9.34),4.08,(2.80 - 5.89),4.45,(3.24 - 6.08)
Pennsylvania,6.79,(5.95 - 7.72),3.18,(2.68 - 3.78),3.69,(3.22 - 4.23)
Region 1 (Allegheny),7.69,(5.95 - 9.90),3.20,(2.33 - 4.38),3.79,(2.95 - 4.86)
"Regions 3, 8, 9, and 51",6.42,(4.74 - 8.66),3.12,(2.25 - 4.32),3.61,(2.74 - 4.73)
"Regions 4, 11, 37, and 49",7.43,(5.57 - 9.84),3.13,(2.28 - 4.28),3.71,(2.87 - 4.79)
"Regions 5, 18, 23, 24, and 46",7.03,(5.12 - 9.59),3.26,(2.34 - 4.52),3.77,(2.85 - 4.96)
"Regions 6, 12, 16, 31, 35, 45, and 47",6.61,(4.91 - 8.84),3.24,(2.39 - 4.36),3.88,(3.06 - 4.91)
"Regions 7, 13, 20, and 33",7.11,(5.56 - 9.05),3.12,(2.34 - 4.15),3.66,(2.90 - 4.61)
"Regions 10, 15, 27, 32, 43, and 44",6.62,(4.85 - 8.97),3.48,(2.52 - 4.81),3.89,(2.95 - 5.11)
Regions 17 and 21,7.29,(5.41 - 9.76),3.31,(2.40 - 4.55),3.94,(3.02 - 5.11)
"Regions 19, 26, 28, and 42",6.55,(4.93 - 8.65),3.01,(2.22 - 4.07),3.48,(2.71 - 4.46)
"Regions 22, 38, 40, 41, and 48",6.73,(5.11 - 8.80),3.54,(2.58 - 4.84),3.93,(3.01 - 5.12)
Regions 29 and 34,6.35,(4.66 - 8.60),2.67,(1.93 - 3.69),3.17,(2.44 - 4.11)
Regions 30 and 50,6.34,(4.66 - 8.56),3.68,(2.69 - 5.02),4.03,(3.09 - 5.26)
Region 36 (Philadelphia),5.96,(4.56 - 7.75),3.11,(2.24 - 4.29),3.58,(2.76 - 4.62)
Rhode Island,6.76,(5.45 - 8.34),4.49,(3.45 - 5.83),4.85,(3.89 - 6.03)
Bristol and Newport,6.65,(4.66 - 9.41),4.01,(2.77 - 5.78),4.44,(3.24 - 6.06)
Kent,7.30,(5.25 - 10.06),4.56,(3.16 - 6.53),4.89,(3.56 - 6.68)
Providence,6.74,(5.18 - 8.74),4.71,(3.42 - 6.45),5.04,(3.87 - 6.54)
Washington,6.41,(4.53 - 8.99),3.87,(2.68 - 5.57),4.30,(3.15 - 5.84)
South Carolina,6.08,(4.92 - 7.50),3.09,(2.38 - 4.01),3.52,(2.84 - 4.35)
Region 1,6.03,(4.39 - 8.23),2.96,(2.06 - 4.22),3.37,(2.51 - 4.51)
Region 2,6.24,(4.63 - 8.36),3.01,(2.13 - 4.23),3.49,(2.64 - 4.59)
Region 3,5.96,(4.24 - 8.30),3.06,(2.13 - 4.38),3.45,(2.54 - 4.66)
Region 4,6.03,(4.34 - 8.32),3.35,(2.35 - 4.77),3.74,(2.77 - 5.05)
South Dakota,6.80,(5.63 - 8.20),3.61,(2.87 - 4.54),4.11,(3.40 - 4.95)
Region 1,6.45,(4.73 - 8.73),3.18,(2.26 - 4.47),3.73,(2.84 - 4.89)
Region 2,6.14,(4.53 - 8.28),3.71,(2.68 - 5.12),4.06,(3.09 - 5.32)
Region 3,7.11,(5.27 - 9.52),3.55,(2.58 - 4.88),4.21,(3.29 - 5.39)
Region 4,6.79,(4.84 - 9.46),3.67,(2.56 - 5.23),4.18,(3.10 - 5.61)
Region 5,7.33,(5.25 - 10.15),3.51,(2.48 - 4.95),4.02,(3.00 - 5.37)
Region 6,*,(* - *),3.09,(2.14 - 4.46),3.59,(2.62 - 4.90)
Region 7,7.58,(5.41 - 10.53),4.21,(2.94 - 5.98),4.69,(3.46 - 6.33)
Tennessee,5.52,(4.51 - 6.75),3.10,(2.39 - 4.00),3.42,(2.76 - 4.24)
Region 1,5.29,(3.74 - 7.43),3.34,(2.31 - 4.81),3.57,(2.58 - 4.92)
Region 2,5.23,(3.76 - 7.23),3.30,(2.30 - 4.71),3.55,(2.60 - 4.82)
Region 3,5.69,(4.11 - 7.82),3.26,(2.28 - 4.65),3.58,(2.64 - 4.84)
Region 4 (Davidson),5.82,(4.12 - 8.16),3.11,(2.14 - 4.49),3.47,(2.51 - 4.76)
Region 5,5.35,(3.83 - 7.42),2.90,(2.02 - 4.16),3.24,(2.37 - 4.40)
Region 6,5.75,(4.15 - 7.92),3.12,(2.17 - 4.45),3.48,(2.57 - 4.70)
Region 7 (Shelby),5.75,(4.09 - 8.01),2.75,(1.89 - 4.00),3.20,(2.35 - 4.35)
Texas,5.88,(5.21 - 6.64),2.74,(2.29 - 3.27),3.24,(2.83 - 3.72)
Region 1,5.60,(4.07 - 7.67),2.79,(2.02 - 3.84),3.30,(2.53 - 4.29)
Region 2,6.32,(4.57 - 8.69),3.02,(2.17 - 4.19),3.59,(2.75 - 4.69)
Region 3,6.20,(5.17 - 7.42),3.01,(2.38 - 3.80),3.48,(2.88 - 4.19)
Region 3a,6.43,(5.14 - 8.02),3.04,(2.30 - 4.01),3.54,(2.83 - 4.41)
Region 3bc,5.81,(4.49 - 7.47),2.95,(2.17 - 4.00),3.38,(2.63 - 4.33)
Region 4,6.09,(4.49 - 8.21),3.07,(2.22 - 4.22),3.51,(2.69 - 4.57)
Region 5,5.98,(4.42 - 8.05),2.98,(2.16 - 4.11),3.45,(2.64 - 4.50)
Region 6,5.18,(4.13 - 6.48),2.60,(1.98 - 3.41),2.99,(2.41 - 3.72)
Region 6a,5.09,(3.96 - 6.51),2.58,(1.91 - 3.46),2.96,(2.34 - 3.75)
Region 6bc,5.99,(4.32 - 8.26),2.76,(2.00 - 3.80),3.24,(2.47 - 4.22)
Region 7,6.10,(4.91 - 7.55),2.81,(2.20 - 3.59),3.42,(2.82 - 4.13)
Region 7a,6.29,(4.74 - 8.30),2.70,(2.00 - 3.63),3.28,(2.59 - 4.16)
Region 7bcd,5.87,(4.37 - 7.83),3.02,(2.18 - 4.17),3.65,(2.83 - 4.68)
Region 8,5.60,(4.27 - 7.30),2.47,(1.81 - 3.37),2.96,(2.30 - 3.79)
Region 9,6.22,(4.56 - 8.45),2.77,(1.97 - 3.89),3.35,(2.55 - 4.39)
Region 10,6.79,(5.02 - 9.13),2.22,(1.57 - 3.12),3.01,(2.32 - 3.90)
Region 11,6.25,(4.96 - 7.83),2.27,(1.71 - 3.01),2.97,(2.40 - 3.66)
Region 11abd,6.21,(4.68 - 8.19),2.32,(1.68 - 3.21),2.99,(2.33 - 3.83)
Region 11c (Hidalgo),6.31,(4.61 - 8.58),2.17,(1.54 - 3.05),2.93,(2.26 - 3.79)
Utah,8.15,(6.75 - 9.81),4.70,(3.70 - 5.96),5.39,(4.46 - 6.50)
"Bear River, Northeastern, Summit,     Tooele, and Wasatch",7.95,(5.78 - 10.85),4.70,(3.35 - 6.55),5.40,(4.10 - 7.07)
"Central, Four Corners, San Juan,     and Southwest",7.50,(5.41 - 10.31),4.64,(3.28 - 6.53),5.19,(3.89 - 6.90)
Davis County,8.03,(5.83 - 10.98),4.60,(3.28 - 6.40),5.24,(3.97 - 6.87)
Salt Lake County,9.16,(6.99 - 11.90),4.93,(3.58 - 6.74),5.62,(4.36 - 7.22)
Utah County,7.56,(5.59 - 10.13),4.33,(3.11 - 5.98),5.28,(4.11 - 6.77)
"Weber, Morgan",7.62,(5.45 - 10.54),4.55,(3.21 - 6.41),5.06,(3.77 - 6.76)
Vermont,7.29,(6.02 - 8.80),4.06,(3.21 - 5.12),4.53,(3.74 - 5.47)
Champlain Valley,6.69,(5.11 - 8.70),3.63,(2.68 - 4.91),4.13,(3.24 - 5.27)
Rural Northeast,7.83,(5.84 - 10.42),4.34,(3.11 - 6.03),4.82,(3.65 - 6.35)
Rural Southeast,8.33,(6.11 - 11.27),4.41,(3.08 - 6.26),4.89,(3.62 - 6.57)
Rural Southwest,7.01,(5.12 - 9.52),4.19,(2.94 - 5.94),4.57,(3.38 - 6.15)
Virginia,6.50,(5.31 - 7.94),3.18,(2.48 - 4.06),3.67,(3.00 - 4.48)
Region 1,6.37,(4.64 - 8.68),3.46,(2.46 - 4.84),3.92,(2.95 - 5.19)
Region 2,6.65,(4.84 - 9.06),2.87,(2.02 - 4.06),3.32,(2.47 - 4.44)
Region 3,5.81,(4.17 - 8.05),3.36,(2.36 - 4.75),3.73,(2.78 - 5.00)
Region 4,6.98,(5.07 - 9.52),3.30,(2.32 - 4.67),3.85,(2.88 - 5.12)
Region 5,6.66,(4.94 - 8.92),3.13,(2.21 - 4.41),3.71,(2.83 - 4.86)
Washington,6.77,(5.58 - 8.21),3.93,(3.09 - 4.99),4.33,(3.54 - 5.28)
Region 1,6.48,(4.96 - 8.42),4.06,(3.04 - 5.41),4.46,(3.50 - 5.66)
East 1 (previously Region 1),6.49,(4.67 - 8.95),4.16,(2.96 - 5.82),4.54,(3.41 - 6.02)
East 2 (previously Region 2),6.46,(4.61 - 9.00),3.93,(2.74 - 5.60),4.35,(3.22 - 5.83)
Region 2,7.27,(5.70 - 9.23),3.70,(2.78 - 4.92),4.16,(3.27 - 5.28)
North 1 (previously Region 3),6.35,(4.60 - 8.71),3.90,(2.76 - 5.48),4.25,(3.17 - 5.68)
North 2 (previously Region 4),7.91,(5.89 - 10.53),3.59,(2.55 - 5.03),4.11,(3.10 - 5.43)
Region 3,6.36,(4.93 - 8.16),4.17,(3.13 - 5.55),4.48,(3.50 - 5.72)
West 1 (previously Region 5),6.70,(4.85 - 9.19),4.09,(2.88 - 5.79),4.47,(3.31 - 6.02)
West 2 (previously Region 6),6.01,(4.36 - 8.25),4.25,(3.00 - 5.99),4.48,(3.31 - 6.04)
West Virginia,6.78,(5.59 - 8.20),3.85,(3.00 - 4.94),4.23,(3.43 - 5.21)
Region I,7.14,(5.09 - 9.92),3.58,(2.46 - 5.18),4.01,(2.92 - 5.49)
Region II,7.86,(5.62 - 10.89),4.20,(2.92 - 6.02),4.65,(3.41 - 6.32)
Region III,8.23,(5.86 - 11.46),4.19,(2.89 - 6.05),4.65,(3.38 - 6.37)
Region IV,6.07,(4.41 - 8.30),3.52,(2.45 - 5.04),3.94,(2.92 - 5.30)
Region V,6.66,(4.99 - 8.84),3.65,(2.60 - 5.11),4.01,(3.00 - 5.35)
Region VI,6.35,(4.62 - 8.68),4.21,(2.90 - 6.07),4.45,(3.21 - 6.14)
Wisconsin,7.57,(6.29 - 9.08),3.49,(2.72 - 4.46),4.09,(3.35 - 4.98)
Milwaukee,8.87,(6.52 - 11.94),3.52,(2.44 - 5.04),4.30,(3.23 - 5.69)
Northeastern,7.15,(5.26 - 9.64),3.29,(2.32 - 4.66),3.84,(2.87 - 5.10)
Northern,6.94,(5.02 - 9.51),3.85,(2.64 - 5.57),4.28,(3.12 - 5.83)
Southeastern,7.59,(5.61 - 10.19),3.09,(2.17 - 4.38),3.71,(2.79 - 4.92)
Southern,7.36,(5.37 - 10.00),3.63,(2.54 - 5.16),4.20,(3.15 - 5.59)
Western,7.44,(5.45 - 10.07),3.93,(2.79 - 5.53),4.51,(3.41 - 5.95)
Wyoming,6.16,(5.10 - 7.41),3.86,(3.03 - 4.91),4.22,(3.45 - 5.15)
Judicial District 1 (Laramie),6.04,(4.30 - 8.42),4.08,(2.82 - 5.86),4.35,(3.16 - 5.95)
Judicial District 2,6.11,(4.46 - 8.32),3.88,(2.72 - 5.49),4.50,(3.42 - 5.90)
Judicial District 3,6.41,(4.73 - 8.64),3.40,(2.39 - 4.81),3.88,(2.91 - 5.16)
Judicial District 4,*,(* - *),3.83,(2.63 - 5.56),4.15,(2.99 - 5.72)
Judicial District 5,6.08,(4.27 - 8.57),3.31,(2.32 - 4.70),3.70,(2.73 - 4.99)
Judicial District 6,6.05,(4.31 - 8.43),4.25,(2.97 - 6.05),4.51,(3.31 - 6.12)
Judicial District 7 (Natrona),6.17,(4.46 - 8.47),4.29,(3.00 - 6.12),4.57,(3.37 - 6.18)
Judicial District 8,6.45,(4.64 - 8.89),*,(* - *),4.29,(3.10 - 5.92)
Judicial District 9,5.96,(4.25 - 8.29),3.72,(2.64 - 5.22),4.01,(2.97 - 5.38)
