State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Southern 2,32.85,(28.55 - 37.46),19.42,(16.19 - 23.11),21.22,(18.28 - 24.49)
New Jersey,31.08,(28.12 - 34.20),17.18,(14.69 - 19.99),19.03,(16.76 - 21.52)
Central,31.65,(26.73 - 37.02),17.44,(14.07 - 21.42),19.29,(16.16 - 22.86)
Metropolitan,29.17,(24.94 - 33.81),16.65,(13.40 - 20.49),18.40,(15.44 - 21.78)
Northern,31.67,(27.29 - 36.41),16.63,(13.48 - 20.35),18.51,(15.60 - 21.82)
Southern,31.79,(27.15 - 36.82),18.28,(14.76 - 22.42),20.17,(16.94 - 23.85)
New Mexico,29.15,(26.15 - 32.33),17.04,(14.73 - 19.63),18.91,(16.84 - 21.18)
Region 1,31.32,(26.44 - 36.66),15.97,(12.86 - 19.66),18.47,(15.64 - 21.67)
Region 2,30.24,(25.07 - 35.97),17.32,(13.93 - 21.32),19.02,(15.89 - 22.59)
Region 3 (Bernalillo),29.03,(24.85 - 33.59),17.49,(14.36 - 21.14),19.17,(16.31 - 22.39)
Region 4,28.19,(23.34 - 33.62),18.24,(14.69 - 22.42),19.91,(16.74 - 23.51)
Region 5,27.09,(22.64 - 32.04),16.45,(13.33 - 20.13),18.27,(15.46 - 21.46)
New York,31.84,(29.98 - 33.75),18.45,(16.85 - 20.18),20.47,(19.04 - 21.97)
Region A,31.16,(28.71 - 33.72),19.35,(17.33 - 21.55),21.03,(19.21 - 22.97)
Region 1,28.86,(24.50 - 33.65),19.02,(15.63 - 22.93),20.70,(17.66 - 24.12)
Region 2,31.57,(27.95 - 35.42),19.31,(16.41 - 22.59),21.20,(18.60 - 24.06)
Region 3,32.40,(27.96 - 37.19),22.73,(19.03 - 26.91),23.85,(20.45 - 27.61)
Region 4,31.42,(27.19 - 35.99),16.93,(14.15 - 20.13),18.81,(16.23 - 21.68)
Region B,31.45,(28.61 - 34.43),16.55,(14.54 - 18.78),18.70,(16.89 - 20.66)
Region 5,31.33,(27.50 - 35.44),16.13,(13.53 - 19.11),18.28,(15.91 - 20.90)
Region 6,31.15,(26.52 - 36.19),16.24,(13.36 - 19.60),18.30,(15.63 - 21.30)
Region 7,32.14,(27.61 - 37.03),18.43,(15.41 - 21.88),20.67,(17.96 - 23.68)
Region C,33.27,(30.81 - 35.82),18.65,(16.73 - 20.73),21.08,(19.39 - 22.87)
Region 8,34.95,(30.43 - 39.76),19.44,(16.35 - 22.95),21.88,(19.10 - 24.94)
Region 9,30.64,(25.96 - 35.75),18.11,(15.07 - 21.61),20.19,(17.41 - 23.30)
Region 10,34.25,(29.56 - 39.26),20.06,(16.67 - 23.94),23.04,(20.06 - 26.31)
Region 11,34.60,(30.28 - 39.20),18.30,(15.31 - 21.73),21.06,(18.38 - 24.02)
Region 12,32.24,(27.96 - 36.85),18.18,(15.04 - 21.82),20.34,(17.48 - 23.54)
Region D,31.68,(28.44 - 35.11),19.21,(16.83 - 21.83),21.32,(19.18 - 23.62)
Region 13,31.95,(26.84 - 37.53),19.57,(16.01 - 23.70),21.61,(18.38 - 25.24)
Region 14,30.80,(26.38 - 35.60),19.48,(16.25 - 23.18),21.45,(18.54 - 24.68)
Region 15,32.36,(27.38 - 37.78),18.61,(15.39 - 22.33),20.92,(17.98 - 24.20)
North Carolina,29.22,(26.31 - 32.30),17.96,(15.74 - 20.41),19.55,(17.53 - 21.73)
CenterPoint/Guilford**,30.14,(25.94 - 34.70),17.72,(14.87 - 20.97),19.44,(16.81 - 22.37)
Guilford,28.90,(23.95 - 34.42),17.70,(14.25 - 21.76),19.39,(16.26 - 22.96)
Durham,28.67,(24.13 - 33.68),16.75,(13.69 - 20.34),18.52,(15.70 - 21.72)
East Carolina,27.77,(22.86 - 33.28),17.86,(14.42 - 21.92),19.47,(16.35 - 23.03)
Eastpointe,27.58,(22.44 - 33.41),17.93,(14.42 - 22.07),19.29,(16.07 - 22.98)
ECCS,28.31,(23.07 - 34.21),*,(* - *),21.15,(17.72 - 25.04)
Mecklenburg,28.44,(23.75 - 33.65),17.82,(14.47 - 21.75),19.22,(16.14 - 22.73)
Pathways,29.81,(24.72 - 35.46),19.08,(15.41 - 23.38),20.39,(17.01 - 24.24)
PBH,30.52,(25.47 - 36.09),17.62,(14.25 - 21.60),19.45,(16.30 - 23.03)
Sandhills,*,(* - *),*,(* - *),19.69,(16.35 - 23.52)
Smoky Mountain,29.86,(24.78 - 35.49),*,(* - *),19.90,(16.50 - 23.79)
Western Highlands,*,(* - *),18.89,(15.24 - 23.18),20.27,(16.87 - 24.15)
North Dakota,26.68,(23.93 - 29.62),15.98,(13.82 - 18.41),17.98,(16.08 - 20.05)
Badlands and West Central,26.33,(22.05 - 31.11),15.29,(12.31 - 18.85),17.02,(14.31 - 20.12)
Lake Region and South Central,28.36,(23.44 - 33.84),14.81,(11.81 - 18.42),16.88,(14.08 - 20.12)
North Central and Northwest,27.38,(22.77 - 32.53),15.84,(12.73 - 19.55),17.72,(14.88 - 20.96)
Northeast,26.28,(21.97 - 31.10),16.07,(12.91 - 19.81),18.86,(16.07 - 22.00)
Southeast,26.20,(22.36 - 30.44),17.45,(14.53 - 20.81),19.24,(16.70 - 22.06)
Ohio,31.93,(30.18 - 33.73),19.71,(18.14 - 21.37),21.42,(20.02 - 22.89)
"Boards 2, 46, 55, and 68",31.85,(27.31 - 36.75),19.44,(16.32 - 22.99),21.14,(18.30 - 24.29)
"Boards 3, 52, and 85",30.45,(26.01 - 35.29),19.05,(15.64 - 23.00),20.67,(17.55 - 24.19)
Boards 4 and 78,32.24,(27.44 - 37.45),19.63,(16.30 - 23.45),21.18,(18.10 - 24.62)
Boards 5 and 60,31.16,(26.97 - 35.69),21.00,(17.48 - 25.02),22.79,(19.68 - 26.24)
"Boards 7, 15, 41, 79, and 84",33.17,(28.92 - 37.72),20.03,(16.68 - 23.86),21.65,(18.59 - 25.06)
"Boards 8, 13, and 83",32.97,(28.14 - 38.18),19.85,(16.54 - 23.65),21.59,(18.56 - 24.96)
Board 9 (Butler),32.29,(27.71 - 37.23),19.59,(16.32 - 23.35),21.67,(18.67 - 24.99)
Board 12,31.76,(27.06 - 36.87),19.23,(15.88 - 23.09),21.27,(18.24 - 24.64)
Boards 18 and 47,28.25,(24.69 - 32.10),18.93,(16.12 - 22.09),20.14,(17.59 - 22.94)
"Boards 20, 32, 54, and 69",32.33,(27.59 - 37.46),18.29,(14.97 - 22.15),20.21,(17.15 - 23.66)
"Boards 21, 39, 51, 70, and 80",31.90,(27.01 - 37.22),19.98,(16.82 - 23.57),21.55,(18.62 - 24.81)
"Boards 22, 74, and 87",32.23,(27.32 - 37.56),18.46,(15.27 - 22.14),20.66,(17.73 - 23.92)
Boards 23 and 45,32.40,(27.51 - 37.70),20.31,(16.81 - 24.34),22.04,(18.81 - 25.66)
Board 25 (Franklin),35.76,(31.68 - 40.07),22.06,(18.59 - 25.97),24.10,(20.99 - 27.50)
"Boards 27, 71, and 73",32.27,(27.38 - 37.58),20.73,(17.39 - 24.52),22.24,(19.18 - 25.63)
"Boards 28, 43, and 67",32.99,(28.44 - 37.87),18.48,(15.42 - 21.99),20.59,(17.76 - 23.73)
Board 31 (Hamilton),31.53,(27.12 - 36.30),18.20,(15.13 - 21.73),20.12,(17.30 - 23.27)
Board 48 (Lucas),30.04,(25.68 - 34.81),19.68,(16.27 - 23.61),21.21,(18.12 - 24.68)
Boards 50 and 76,31.74,(27.16 - 36.69),19.17,(16.01 - 22.79),20.91,(18.02 - 24.12)
Board 57 (Montgomery),33.00,(28.57 - 37.75),20.96,(17.44 - 24.97),22.68,(19.50 - 26.20)
Board 77 (Summit),32.75,(28.33 - 37.51),20.22,(17.03 - 23.84),21.85,(18.90 - 25.12)
Oklahoma,31.54,(28.44 - 34.82),19.56,(17.07 - 22.30),21.41,(19.18 - 23.83)
Central,32.04,(26.94 - 37.61),19.69,(15.99 - 24.01),21.85,(18.53 - 25.58)
East Central,32.21,(27.00 - 37.90),19.67,(15.93 - 24.05),21.58,(18.14 - 25.46)
Northeast,31.64,(26.46 - 37.33),18.04,(14.62 - 22.05),20.35,(17.24 - 23.85)
Northwest and Southwest,33.06,(27.82 - 38.76),19.79,(15.85 - 24.43),21.92,(18.33 - 26.00)
Oklahoma County,30.21,(25.22 - 35.72),19.42,(15.84 - 23.59),21.01,(17.70 - 24.74)
Southeast,31.01,(26.00 - 36.51),19.80,(16.11 - 24.09),21.44,(18.07 - 25.24)
Tulsa County,31.06,(25.89 - 36.76),20.34,(16.60 - 24.68),21.86,(18.42 - 25.74)
Oregon,31.23,(28.33 - 34.29),19.56,(16.97 - 22.45),21.15,(18.84 - 23.67)
Region 1 (Multnomah),32.52,(27.61 - 37.84),21.07,(17.12 - 25.65),22.49,(18.87 - 26.59)
Region 2,31.37,(26.66 - 36.49),18.49,(15.07 - 22.49),20.15,(17.01 - 23.70)
Region 3,31.50,(27.53 - 35.75),20.14,(16.62 - 24.18),21.90,(18.80 - 25.35)
Region 4,29.16,(24.28 - 34.57),18.73,(14.97 - 23.17),20.03,(16.58 - 23.99)
Region 5 (Central),*,(* - *),19.73,(15.82 - 24.33),21.17,(17.60 - 25.25)
Region 6 (Eastern),30.37,(25.05 - 36.27),17.98,(14.30 - 22.36),19.74,(16.35 - 23.62)
Pennsylvania,30.59,(28.65 - 32.60),17.80,(16.21 - 19.50),19.60,(18.19 - 21.09)
Region 1 (Allegheny),31.01,(27.02 - 35.30),17.28,(14.47 - 20.49),19.10,(16.54 - 21.95)
"Regions 3, 8, 9, and 51",31.22,(26.65 - 36.19),17.47,(14.58 - 20.80),19.48,(16.83 - 22.44)
"Regions 4, 11, 37, and 49",30.21,(26.06 - 34.71),17.77,(14.88 - 21.09),19.46,(16.81 - 22.42)
"Regions 5, 18, 23, 24, and 46",31.60,(26.70 - 36.94),18.00,(14.78 - 21.74),19.83,(16.86 - 23.18)
"Regions 6, 12, 16, 31, 35, 45, and 47",31.24,(26.76 - 36.11),17.54,(14.59 - 20.93),20.14,(17.49 - 23.07)
"Regions 7, 13, 20, and 33",32.33,(28.73 - 36.17),17.55,(14.94 - 20.50),19.54,(17.17 - 22.16)
"Regions 10, 15, 27, 32, 43, and 44",32.36,(27.56 - 37.56),17.62,(14.61 - 21.10),19.54,(16.75 - 22.67)
Regions 17 and 21,32.17,(27.54 - 37.18),18.34,(15.21 - 21.95),20.52,(17.71 - 23.64)
"Regions 19, 26, 28, and 42",30.12,(25.89 - 34.72),18.14,(15.19 - 21.53),19.73,(17.03 - 22.74)
"Regions 22, 38, 40, 41, and 48",31.40,(27.21 - 35.93),17.16,(14.19 - 20.60),18.92,(16.19 - 21.99)
Regions 29 and 34,29.05,(24.56 - 34.00),17.26,(14.18 - 20.84),18.87,(16.05 - 22.06)
Regions 30 and 50,28.21,(23.69 - 33.21),17.86,(14.68 - 21.56),19.25,(16.35 - 22.53)
Region 36 (Philadelphia),27.35,(23.73 - 31.30),19.14,(16.11 - 22.59),20.49,(17.80 - 23.46)
Rhode Island,32.27,(29.00 - 35.72),21.68,(18.80 - 24.87),23.36,(20.80 - 26.13)
Bristol and Newport,30.81,(25.39 - 36.82),18.27,(14.75 - 22.41),20.30,(17.08 - 23.95)
Kent,32.38,(26.99 - 38.28),21.01,(17.19 - 25.41),22.40,(18.88 - 26.37)
Providence,32.88,(28.93 - 37.09),22.93,(19.31 - 27.01),24.58,(21.37 - 28.08)
Washington,30.73,(25.70 - 36.26),20.18,(16.23 - 24.80),21.94,(18.42 - 25.92)
South Carolina,28.84,(25.90 - 31.97),16.93,(14.64 - 19.49),18.61,(16.54 - 20.88)
Region 1,29.48,(24.93 - 34.48),16.87,(13.73 - 20.55),18.57,(15.66 - 21.87)
Region 2,28.97,(24.84 - 33.49),16.70,(13.73 - 20.18),18.53,(15.83 - 21.58)
Region 3,26.63,(22.18 - 31.60),17.11,(13.73 - 21.12),18.37,(15.23 - 22.00)
Region 4,29.47,(24.95 - 34.43),17.11,(13.94 - 20.83),18.91,(16.01 - 22.20)
South Dakota,28.27,(25.40 - 31.33),16.81,(14.50 - 19.40),18.57,(16.50 - 20.84)
Region 1,29.20,(24.35 - 34.58),16.03,(12.76 - 19.95),18.23,(15.28 - 21.60)
Region 2,26.18,(22.27 - 30.50),18.73,(15.23 - 22.81),19.81,(16.66 - 23.38)
Region 3,29.33,(24.90 - 34.19),15.23,(12.33 - 18.68),17.85,(15.19 - 20.85)
Region 4,28.53,(23.40 - 34.29),16.02,(12.64 - 20.10),18.05,(14.94 - 21.65)
Region 5,27.97,(23.07 - 33.47),14.96,(11.90 - 18.65),16.70,(13.84 - 20.02)
Region 6,*,(* - *),15.50,(12.27 - 19.38),17.24,(14.22 - 20.75)
Region 7,29.03,(23.99 - 34.65),18.12,(14.57 - 22.31),19.68,(16.42 - 23.41)
Tennessee,30.83,(27.87 - 33.95),20.80,(18.25 - 23.61),22.15,(19.86 - 24.63)
Region 1,31.35,(26.08 - 37.16),21.25,(17.43 - 25.65),22.47,(18.95 - 26.42)
Region 2,31.71,(26.83 - 37.04),21.69,(17.83 - 26.13),22.98,(19.47 - 26.92)
Region 3,32.08,(27.23 - 37.35),20.75,(17.03 - 25.04),22.25,(18.87 - 26.04)
Region 4 (Davidson),30.78,(25.96 - 36.06),20.94,(17.03 - 25.48),22.24,(18.67 - 26.27)
Region 5,31.26,(26.58 - 36.36),20.98,(17.21 - 25.34),22.39,(18.96 - 26.23)
Region 6,31.18,(26.19 - 36.64),21.22,(17.24 - 25.83),22.59,(18.95 - 26.70)
Region 7 (Shelby),27.47,(22.77 - 32.74),18.65,(15.17 - 22.71),19.97,(16.80 - 23.57)
Texas,28.88,(27.20 - 30.62),17.59,(16.17 - 19.11),19.39,(18.14 - 20.70)
Region 1,29.02,(24.68 - 33.79),18.02,(14.94 - 21.56),20.01,(17.23 - 23.11)
Region 2,29.23,(24.66 - 34.27),18.11,(14.96 - 21.76),20.03,(17.17 - 23.23)
Region 3,30.05,(27.46 - 32.78),18.90,(16.78 - 21.22),20.55,(18.66 - 22.57)
Region 3a,30.75,(27.39 - 34.33),18.68,(16.09 - 21.58),20.45,(18.11 - 23.01)
Region 3bc,28.86,(25.18 - 32.83),19.28,(16.42 - 22.51),20.71,(18.19 - 23.49)
Region 4,31.42,(26.97 - 36.25),19.40,(16.14 - 23.15),21.18,(18.20 - 24.50)
Region 5,28.01,(23.74 - 32.72),18.04,(14.89 - 21.69),19.60,(16.78 - 22.78)
Region 6,27.04,(24.18 - 30.09),16.28,(14.17 - 18.65),17.93,(16.03 - 20.01)
Region 6a,26.80,(23.76 - 30.09),16.03,(13.78 - 18.57),17.69,(15.67 - 19.91)
Region 6bc,28.98,(24.33 - 34.13),18.30,(15.11 - 21.99),19.88,(16.95 - 23.17)
Region 7,30.55,(27.40 - 33.89),18.48,(16.15 - 21.07),20.70,(18.63 - 22.94)
Region 7a,29.88,(25.79 - 34.32),18.39,(15.61 - 21.54),20.26,(17.74 - 23.05)
Region 7bcd,31.38,(27.14 - 35.97),18.65,(15.51 - 22.25),21.42,(18.67 - 24.47)
Region 8,29.42,(25.55 - 33.61),16.63,(14.02 - 19.62),18.61,(16.26 - 21.22)
Region 9,27.36,(23.09 - 32.08),17.28,(14.16 - 20.91),18.96,(16.17 - 22.11)
Region 10,28.26,(23.83 - 33.16),16.13,(13.13 - 19.66),18.24,(15.53 - 21.31)
Region 11,26.66,(23.50 - 30.08),15.97,(13.66 - 18.58),17.84,(15.79 - 20.09)
Region 11abd,26.19,(22.28 - 30.51),15.61,(12.88 - 18.79),17.42,(14.95 - 20.20)
Region 11c (Hidalgo),27.50,(23.16 - 32.31),16.64,(13.57 - 20.25),18.62,(15.89 - 21.69)
Utah,37.93,(34.27 - 41.75),20.83,(18.24 - 23.69),24.24,(21.93 - 26.70)
"Bear River, Northeastern, Summit,     Tooele, and Wasatch",37.87,(31.93 - 44.19),21.15,(17.22 - 25.69),24.70,(21.12 - 28.66)
"Central, Four Corners, San Juan,     and Southwest",36.60,(30.55 - 43.11),20.40,(16.53 - 24.90),23.52,(20.03 - 27.40)
Davis County,36.62,(30.70 - 42.98),21.16,(17.24 - 25.69),24.04,(20.48 - 28.01)
Salt Lake County,39.20,(34.15 - 44.48),20.86,(17.52 - 24.64),23.86,(20.83 - 27.18)
Utah County,37.80,(32.47 - 43.45),20.11,(16.63 - 24.12),25.31,(22.22 - 28.67)
"Weber, Morgan",37.13,(31.10 - 43.60),21.80,(17.64 - 26.63),24.34,(20.57 - 28.56)
Vermont,32.36,(29.42 - 35.46),18.04,(15.70 - 20.63),20.11,(18.01 - 22.39)
Champlain Valley,31.73,(27.96 - 35.75),17.81,(14.86 - 21.20),20.10,(17.46 - 23.03)
Rural Northeast,33.92,(28.87 - 39.37),19.01,(15.60 - 22.98),21.08,(17.96 - 24.58)
Rural Southeast,32.87,(27.81 - 38.36),17.59,(14.26 - 21.50),19.47,(16.39 - 22.96)
Rural Southwest,31.26,(26.45 - 36.52),17.71,(14.24 - 21.81),19.54,(16.34 - 23.18)
Virginia,30.50,(27.59 - 33.57),17.37,(15.06 - 19.95),19.30,(17.22 - 21.56)
Region 1,31.76,(26.85 - 37.12),18.35,(15.07 - 22.16),20.48,(17.48 - 23.84)
Region 2,30.20,(25.53 - 35.32),16.46,(13.38 - 20.08),18.09,(15.23 - 21.36)
Region 3,29.78,(25.21 - 34.79),17.75,(14.41 - 21.67),19.59,(16.58 - 23.01)
Region 4,31.76,(26.84 - 37.13),17.60,(14.22 - 21.58),19.69,(16.60 - 23.21)
Region 5,29.57,(25.34 - 34.19),17.33,(14.24 - 20.92),19.35,(16.59 - 22.44)
Washington,31.35,(28.31 - 34.56),20.51,(18.03 - 23.23),22.02,(19.77 - 24.45)
Region 1,30.17,(26.12 - 34.55),20.12,(16.94 - 23.72),21.76,(18.88 - 24.95)
East 1 (previously Region 1),30.51,(25.57 - 35.94),20.51,(16.76 - 24.85),22.14,(18.74 - 25.96)
East 2 (previously Region 2),29.70,(24.65 - 35.29),19.56,(15.79 - 23.98),21.23,(17.81 - 25.12)
Region 2,32.69,(28.92 - 36.69),20.72,(17.73 - 24.06),22.26,(19.53 - 25.24)
North 1 (previously Region 3),30.42,(25.60 - 35.71),20.59,(16.75 - 25.03),22.00,(18.56 - 25.88)
North 2 (previously Region 4),34.25,(29.47 - 39.38),20.79,(17.34 - 24.73),22.41,(19.22 - 25.95)
Region 3,30.54,(26.67 - 34.69),20.46,(17.42 - 23.87),21.86,(19.08 - 24.92)
West 1 (previously Region 5),30.36,(25.54 - 35.65),20.58,(16.90 - 24.81),22.00,(18.64 - 25.77)
West 2 (previously Region 6),30.71,(25.73 - 36.20),20.35,(16.66 - 24.63),21.73,(18.32 - 25.58)
West Virginia,30.89,(27.90 - 34.05),21.28,(18.75 - 24.04),22.52,(20.25 - 24.96)
Region I,33.02,(27.32 - 39.27),18.38,(14.61 - 22.85),20.16,(16.66 - 24.19)
Region II,31.92,(26.90 - 37.40),21.85,(18.01 - 26.23),23.09,(19.58 - 27.03)
Region III,32.49,(27.17 - 38.31),19.49,(15.81 - 23.80),20.98,(17.55 - 24.87)
Region IV,29.15,(24.80 - 33.92),20.71,(17.05 - 24.93),22.11,(18.88 - 25.72)
Region V,32.06,(27.56 - 36.92),22.47,(18.74 - 26.70),23.63,(20.23 - 27.41)
Region VI,29.22,(24.54 - 34.38),21.77,(17.92 - 26.18),22.63,(19.10 - 26.59)
Wisconsin,32.94,(29.90 - 36.13),18.07,(15.78 - 20.60),20.25,(18.20 - 22.48)
Milwaukee,34.51,(29.25 - 40.18),19.19,(15.61 - 23.37),21.42,(18.14 - 25.11)
Northeastern,31.86,(27.28 - 36.82),17.23,(14.00 - 21.03),19.29,(16.32 - 22.64)
Northern,31.34,(26.36 - 36.78),17.99,(14.43 - 22.20),19.85,(16.62 - 23.54)
Southeastern,32.33,(27.30 - 37.81),17.58,(14.17 - 21.59),19.63,(16.51 - 23.18)
Southern,34.00,(29.10 - 39.26),18.55,(15.21 - 22.43),20.91,(17.88 - 24.31)
Western,33.09,(27.82 - 38.83),18.24,(14.92 - 22.11),20.69,(17.64 - 24.11)
Wyoming,32.15,(29.23 - 35.23),19.40,(16.99 - 22.05),21.35,(19.20 - 23.67)
Judicial District 1 (Laramie),31.87,(26.82 - 37.39),19.87,(16.22 - 24.12),21.53,(18.16 - 25.32)
Judicial District 2,30.33,(25.54 - 35.60),19.66,(15.91 - 24.04),22.60,(19.31 - 26.27)
Judicial District 3,31.99,(27.33 - 37.05),18.55,(15.14 - 22.52),20.67,(17.60 - 24.12)
Judicial District 4,*,(* - *),18.75,(15.10 - 23.04),20.60,(17.20 - 24.48)
Judicial District 5,32.63,(27.29 - 38.46),17.18,(13.85 - 21.10),19.35,(16.28 - 22.83)
Judicial District 6,31.70,(26.53 - 37.36),19.80,(16.08 - 24.15),21.53,(18.12 - 25.38)
Judicial District 7 (Natrona),33.66,(28.51 - 39.22),21.19,(17.28 - 25.71),23.04,(19.49 - 27.01)
Judicial District 8,33.78,(28.16 - 39.89),*,(* - *),20.56,(17.13 - 24.47)
Judicial District 9,32.24,(27.03 - 37.92),19.89,(16.14 - 24.26),21.47,(18.03 - 25.37)
